IDpartido,Fecha,Fecha_dia,Local,Puntos_locales,Visitante,Puntos_visitantes,Torneo,Fase,Link
86,12/11/2025 21:00,2025-11-12,PEÑAROL (MDP),75,SAN MARTÍN (C),72,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/s-CwvmRGyCTeq1Nw_Lr2Jg==/penarol-mdp-vs-san-martin-c
87,13/11/2025 22:10,2025-11-13,INDEPENDIENTE (O),87,FERRO,75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/GKmR6RqL_vJnUsFwcErAKA==/independiente-o-vs-ferro
88,14/11/2025 21:00,2025-11-14,OBERÁ,86,OLÍMPICO (LB),62,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/a1ShxD-rs4ic-BaSeT2lTg==/obera-vs-olimpico-lb
89,15/11/2025 11:30,2025-11-15,INSTITUTO,75,FERRO,89,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/84v3-yIKZFXLjyjKOrOtrA==/instituto-vs-ferro
90,15/11/2025 20:30,2025-11-15,BOCA,78,SAN LORENZO,74,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/mdzvtyjdaUB21GaP6xXzfQ==/boca-vs-san-lorenzo
91,16/11/2025 21:00,2025-11-16,LA UNION FSA.,82,OLÍMPICO (LB),76,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/KTwn5tWluQftZPlgJkpfqg==/la-union-fsa-vs-olimpico-lb
92,17/11/2025 21:00,2025-11-17,ATENAS (C),76,FERRO,78,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/nllU-To58e3Q_YkZpX7-nw==/atenas-c-vs-ferro
93,17/11/2025 22:00,2025-11-17,PLATENSE,88,PEÑAROL (MDP),89,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/LIVEyrzCW9HLfWj3S5lsOQ==/platense-vs-penarol-mdp
94,18/11/2025 21:00,2025-11-18,RACING (CH),70,GIMNASIA (CR),93,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/-ZbDI0NdIPvmceFSbFmNKQ==/racing-ch-vs-gimnasia-cr
95,18/11/2025 21:30,2025-11-18,SAN MARTÍN (C),75,INSTITUTO,63,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/dG2EJf8X4X4GR1F3xAr23w==/san-martin-c-vs-instituto
96,19/11/2025 21:00,2025-11-19,UNION (SF),63,PEÑAROL (MDP),82,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/mIF1kM98vw9p2Z8dT02Bkw==/union-sf-vs-penarol-mdp
97,19/11/2025 21:30,2025-11-19,ATENAS (C),74,OBRAS,80,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/bu0GaLwa5w9J7Qdh7lNtaA==/atenas-c-vs-obras
98,19/11/2025 22:10,2025-11-19,OLÍMPICO (LB),83,BOCA,71,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/q21Cr6MuOiDhb4cfvIovVw==/olimpico-lb-vs-boca
99,20/11/2025 20:05,2025-11-20,PLATENSE,82,OBERÁ,78,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/cS5WI99TAmSRIlZCohUOjw==/platense-vs-obera
100,20/11/2025 21:00,2025-11-20,ARGENTINO (J),64,GIMNASIA (CR),79,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/8D_OilX6rQ9305S7V1quTA==/argentino-j-vs-gimnasia-cr
101,20/11/2025 21:30,2025-11-20,REGATAS (C),74,INSTITUTO,60,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/hTxDZs1UvYNz5qR5VoyF4A==/regatas-c-vs-instituto
102,21/11/2025 21:00,2025-11-21,INDEPENDIENTE (O),89,OBRAS,92,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/JCwdfNZZ8MulkfRiIPDi8w==/independiente-o-vs-obras
103,21/11/2025 22:00,2025-11-21,QUIMSA,61,BOCA,71,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/8pLDAMuGVkEw1E-cp83R_g==/quimsa-vs-boca
104,22/11/2025 11:30,2025-11-22,FERRO,84,GIMNASIA (CR),72,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/8q7jOqZab7MLlaD6CP4bjA==/ferro-vs-gimnasia-cr
105,22/11/2025 21:00,2025-11-22,PEÑAROL (MDP),71,OBERÁ,87,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/871pvjcqSaR1PCDWhrwWbg==/penarol-mdp-vs-obera
106,23/11/2025 11:30,2025-11-23,INSTITUTO,79,OBRAS,71,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/bnfkiOKTTHi5zfxkayq--g==/instituto-vs-obras
107,03/12/2025 21:00,2025-12-03,ATENAS (C),48,INDEPENDIENTE (O),78,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/NlTg9Ne4AHeh9Dzsf9PE5Q==/atenas-c-vs-independiente-o
108,03/12/2025 21:30,2025-12-03,LA UNION FSA.,82,INSTITUTO,58,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/CcGMjPJjEi3RoVURIMfVaA==/la-union-fsa-vs-instituto
109,03/12/2025 22:10,2025-12-03,FERRO,98,UNION (SF),86,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/QsHccFdQuHb288EIzqZGkA==/ferro-vs-union-sf
110,05/12/2025 20:30,2025-12-05,SAN LORENZO,80,UNION (SF),75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/oK-oNrJjsi3pEgRSJjKWqA==/san-lorenzo-vs-union-sf
111,05/12/2025 21:00,2025-12-05,OBERÁ,65,INSTITUTO,59,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/Hax6rH7jx3ytwROlXy3aXQ==/obera-vs-instituto
112,05/12/2025 21:30,2025-12-05,GIMNASIA (CR),93,PEÑAROL (MDP),67,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/PmAA4JLhlSJm8747NsghBQ==/gimnasia-cr-vs-penarol-mdp
113,06/12/2025 20:00,2025-12-06,BOCA,116,ARGENTINO (J),83,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/IWFi6aWPbrVQPCBQeimczw==/boca-vs-argentino-j
114,07/12/2025 20:30,2025-12-07,PLATENSE,86,INDEPENDIENTE (O),84,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/GM2jDAfuAMJ7Nf0JDLuQLg==/platense-vs-independiente-o
115,07/12/2025 20:30,2025-12-07,OBRAS,95,PEÑAROL (MDP),86,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/u2iEP-2fzG0V2pjbZTeGAA==/obras-vs-penarol-mdp
116,08/12/2025 20:05,2025-12-08,SAN LORENZO,88,ARGENTINO (J),52,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/oalHhtv0U0DSltVE4eO5Sw==/san-lorenzo-vs-argentino-j
117,09/12/2025 21:00,2025-12-09,UNION (SF),100,INDEPENDIENTE (O),85,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/V2V3qEd6WapVnlelwBJprQ==/union-sf-vs-independiente-o
118,10/12/2025 21:00,2025-12-10,REGATAS (C),67,PLATENSE,89,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/c7JttLrHtcpYqckqh63X3w==/regatas-c-vs-platense
119,10/12/2025 22:10,2025-12-10,PEÑAROL (MDP),82,OLÍMPICO (LB),76,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/voVY8R8nOBjZDCrdN_cPeg==/penarol-mdp-vs-olimpico-lb
120,12/12/2025 20:05,2025-12-12,FERRO,87,OLÍMPICO (LB),83,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/nsbem6VotnmcXO8lqUE7CQ==/ferro-vs-olimpico-lb
121,12/12/2025 21:00,2025-12-12,RACING (CH),87,LA UNION FSA.,66,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/Sn465pqjxDbhi7KVOfwh9Q==/racing-ch-vs-la-union-fsa
122,12/12/2025 21:30,2025-12-12,SAN MARTÍN (C),85,PLATENSE,63,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/AVSzEGf7Yt8RFJOg05wFcw==/san-martin-c-vs-platense
123,13/12/2025 11:30,2025-12-13,PEÑAROL (MDP),87,ATENAS (C),67,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/ExrNuCJKI_UCAiUWZNSPCw==/penarol-mdp-vs-atenas-c
124,14/12/2025 20:00,2025-12-14,GIMNASIA (CR),80,OBERÁ,87,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/VJr5_pkp-pVpGD-xUF2e9w==/gimnasia-cr-vs-obera
125,14/12/2025 20:30,2025-12-14,ARGENTINO (J),66,LA UNION FSA.,85,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/6EVyQ_JdngmoDmPp5WUOeA==/argentino-j-vs-la-union-fsa
126,15/12/2025 20:30,2025-12-15,PLATENSE,86,ATENAS (C),81,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/Nd_OPXO_T1JBwdnBhIwtiA==/platense-vs-atenas-c
127,16/12/2025 20:05,2025-12-16,FERRO,89,QUIMSA,92,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/CTYeC7VHvifDa5snZ3mlXg==/ferro-vs-quimsa
128,16/12/2025 20:30,2025-12-16,SAN LORENZO,70,REGATAS (C),92,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/ID4pm6bxujZ_g-BcC2-snA==/san-lorenzo-vs-regatas-c
129,16/12/2025 22:10,2025-12-16,BOCA,70,OBERÁ,80,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/3GBEOyUlU3Tajn9dSzW6uw==/boca-vs-obera
130,17/12/2025 21:00,2025-12-17,UNION (SF),80,INSTITUTO,87,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/h8LjdwuwcADL8zalOfmYPA==/union-sf-vs-instituto
131,17/12/2025 21:30,2025-12-17,INDEPENDIENTE (O),88,RACING (CH),86,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/JJSldUFfBwDktJ6I_f_x7w==/independiente-o-vs-racing-ch
132,18/12/2025 20:30,2025-12-18,GIMNASIA (CR),86,QUIMSA,78,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/98Kdk7EzwvJryZdMzGZbAw==/gimnasia-cr-vs-quimsa
133,18/12/2025 22:10,2025-12-18,FERRO,77,REGATAS (C),79,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/l6SrazQLJm1QirpYVGh1mw==/ferro-vs-regatas-c
134,19/12/2025 21:00,2025-12-19,ATENAS (C),75,RACING (CH),70,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/cFk8GLBpXe6mRBp6hP_NFQ==/atenas-c-vs-racing-ch
135,19/12/2025 21:30,2025-12-19,LA UNION FSA.,88,OBRAS,77,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/tQLiZdDTBT3ncvwsricKWA==/la-union-fsa-vs-obras
136,19/12/2025 22:00,2025-12-19,OLÍMPICO (LB),94,PLATENSE,88,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/85L0TOWSvPn1AZ7j5k9Gxg==/olimpico-lb-vs-platense
137,21/12/2025 20:00,2025-12-21,OBERÁ,66,OBRAS,78,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/_4FXbfYrcU6awh5JkNLe1g==/obera-vs-obras
138,21/12/2025 20:30,2025-12-21,PEÑAROL (MDP),76,INDEPENDIENTE (O),87,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/vg6iQdtnAfnJFIfyecwI7g==/penarol-mdp-vs-independiente-o
139,21/12/2025 21:00,2025-12-21,INSTITUTO,78,RACING (CH),87,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/pbjdCxvgaZA9s6W9wMTCxg==/instituto-vs-racing-ch
140,21/12/2025 21:00,2025-12-21,UNION (SF),95,ARGENTINO (J),84,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/CAqpyuxBphz6gxq9_AupFQ==/union-sf-vs-argentino-j
141,21/12/2025 21:30,2025-12-21,QUIMSA,91,PLATENSE,74,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/4v_B6Y6jxUtkWNIHKkGxVA==/quimsa-vs-platense
142,26/12/2025 20:05,2025-12-26,OBRAS,80,PLATENSE,72,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/3p7DTajLkd6pEl21zklvvQ==/obras-vs-platense
143,26/12/2025 21:30,2025-12-26,LA UNION FSA.,75,SAN MARTÍN (C),91,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/3-VZqlBNpDIke2EPphWfmQ==/la-union-fsa-vs-san-martin-c
144,26/12/2025 22:10,2025-12-26,INSTITUTO,68,ATENAS (C),57,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/IGvI1q2BKUX6xZqCP2xEUg==/instituto-vs-atenas-c
145,27/12/2025 19:00,2025-12-27,QUIMSA,81,OLÍMPICO (LB),64,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/ZfX6ccNFym8FdbdCVMp8Vw==/quimsa-vs-olimpico-lb
146,28/12/2025 22:10,2025-12-28,SAN LORENZO,81,OBRAS,89,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/9EOtOi6FJ3B1cJ86NVxLfg==/san-lorenzo-vs-obras
147,29/12/2025 20:00,2025-12-29,FERRO,100,BOCA,84,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/7b8hIjeERqNYbZPn5D04_w==/ferro-vs-boca
148,29/12/2025 21:30,2025-12-29,RACING (CH),76,ARGENTINO (J),79,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/fbjcTdKsuBNs-JR2kRD5uA==/racing-ch-vs-argentino-j
149,29/12/2025 22:10,2025-12-29,REGATAS (C),84,SAN MARTÍN (C),64,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/HzJS_iiDD0rbYF-Soi6r6w==/regatas-c-vs-san-martin-c
150,06/01/2026 21:00,2026-01-06,RACING (CH),65,INSTITUTO,76,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/MNi6TVTEBf_7rwFFr32sFQ==/racing-ch-vs-instituto
151,06/01/2026 21:00,2026-01-06,OBRAS,69,UNION (SF),83,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/MxLlusktEGveccddMO0ukQ==/obras-vs-union-sf
152,06/01/2026 21:30,2026-01-06,REGATAS (C),78,OBERÁ,66,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/s9MYf2DBbm85Io6BO2As2A==/regatas-c-vs-obera
153,06/01/2026 22:00,2026-01-06,OLÍMPICO (LB),84,SAN LORENZO,74,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/7ou3ivSugZ0Td3HOD_7ZkQ==/olimpico-lb-vs-san-lorenzo
154,07/01/2026 21:10,2026-01-07,PLATENSE,72,GIMNASIA (CR),84,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/hLyd5avp_k_s1WsI6GxKaw==/platense-vs-gimnasia-cr
155,08/01/2026 21:00,2026-01-08,ARGENTINO (J),61,INSTITUTO,76,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/AElHCZ1LZxGB3XqYAQ6XLg==/argentino-j-vs-instituto
156,08/01/2026 21:00,2026-01-08,INDEPENDIENTE (O),83,OLÍMPICO (LB),75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/LYCB-yuxn8BgfW9VwLAqmA==/independiente-o-vs-olimpico-lb
157,08/01/2026 21:30,2026-01-08,SAN MARTÍN (C),59,OBERÁ,67,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/e49TLc3B2fht3Etv7wFtLw==/san-martin-c-vs-obera
158,08/01/2026 22:00,2026-01-08,QUIMSA,92,SAN LORENZO,61,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/j5cnSJ97awcHh0mWcWp7jQ==/quimsa-vs-san-lorenzo
159,09/01/2026 21:05,2026-01-09,UNION (SF),88,GIMNASIA (CR),75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/zHoCiV3KsRrMlvrIIrUGSQ==/union-sf-vs-gimnasia-cr
160,09/01/2026 21:30,2026-01-09,REGATAS (C),94,RACING (CH),57,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/7gV-DCiKZMysSJ4yP4Wp1w==/regatas-c-vs-racing-ch
161,10/01/2026 20:30,2026-01-10,ATENAS (C),89,OLÍMPICO (LB),75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/PZ5iDmgWGVxc0c41CoNwBQ==/atenas-c-vs-olimpico-lb
162,11/01/2026 20:00,2026-01-11,OBERÁ,111,PLATENSE,73,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/fSNyWqTK8uC9RVsmXRwdJw==/obera-vs-platense
163,11/01/2026 20:30,2026-01-11,SAN MARTÍN (C),86,RACING (CH),90,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/xqqQGYnCkoMRQ0ZyRamiKA==/san-martin-c-vs-racing-ch
164,11/01/2026 21:00,2026-01-11,REGATAS (C),73,INDEPENDIENTE (O),88,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/XzjLXWJ6RftPNpYER4BbKQ==/regatas-c-vs-independiente-o
165,11/01/2026 21:00,2026-01-11,OBRAS,72,GIMNASIA (CR),79,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/gcC9M2UuLTvi3DsalADiyg==/obras-vs-gimnasia-cr
166,11/01/2026 21:30,2026-01-11,LA UNION FSA.,78,QUIMSA,77,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/kcj-c4VrIS7KJxi-VhkZxg==/la-union-fsa-vs-quimsa
167,12/01/2026 21:00,2026-01-12,ARGENTINO (J),84,PEÑAROL (MDP),83,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/qaDXzK9D3ILzl9TzZLAtSg==/argentino-j-vs-penarol-mdp
168,12/01/2026 21:05,2026-01-12,INSTITUTO,69,OLÍMPICO (LB),93,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/yBT3Qo3uN6xiRi89zbrZsA==/instituto-vs-olimpico-lb
169,13/01/2026 21:00,2026-01-13,OBERÁ,72,QUIMSA,74,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/mC81EVJbVknL-_5zK4XWGg==/obera-vs-quimsa
170,13/01/2026 22:00,2026-01-13,LA UNION FSA.,79,PLATENSE,68,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/QuHXHnkVuXs-CQYs71Fp_w==/la-union-fsa-vs-platense
171,13/01/2026 22:10,2026-01-13,SAN MARTÍN (C),67,INDEPENDIENTE (O),68,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/1svnwkBi7BsAGUZz5kXDug==/san-martin-c-vs-independiente-o
172,14/01/2026 21:00,2026-01-14,RACING (CH),85,PEÑAROL (MDP),91,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/UnLtXec2Q6-lKca190WXFw==/racing-ch-vs-penarol-mdp
173,15/01/2026 22:00,2026-01-15,OLÍMPICO (LB),72,REGATAS (C),65,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/IE47i41mhS-AYGYzO6zCZg==/olimpico-lb-vs-regatas-c
174,15/01/2026 22:10,2026-01-15,SAN LORENZO,96,FERRO,69,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/jXn8Q7SzVWDbqsybYKAvmw==/san-lorenzo-vs-ferro
175,16/01/2026 21:00,2026-01-16,UNION (SF),99,ATENAS (C),76,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/v-zTVldvS_6VwUstBggwCQ==/union-sf-vs-atenas-c
176,17/01/2026 20:30,2026-01-17,INDEPENDIENTE (O),89,ARGENTINO (J),81,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/IbY3iCxpH3H2HV4FNiKV3g==/independiente-o-vs-argentino-j
177,17/01/2026 21:00,2026-01-17,OBERÁ,78,RACING (CH),73,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/U55pSIeVSSLdGgXh2Ul-rQ==/obera-vs-racing-ch
178,17/01/2026 21:30,2026-01-17,QUIMSA,69,REGATAS (C),70,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/awYWfEuwQUlv12mjNwFylw==/quimsa-vs-regatas-c
179,18/01/2026 20:00,2026-01-18,GIMNASIA (CR),88,FERRO,75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/LhyemGPBhYX9IWt0RUmhOg==/gimnasia-cr-vs-ferro
