IDpartido,Fecha,Fecha_dia,Local,Puntos_locales,Visitante,Puntos_visitantes,Torneo,Fase,Link
180,18/01/2026 21:30,2026-01-18,OLÍMPICO (LB),77,SAN MARTÍN (C),64,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/GlqLm5IsbxzY6yJQWIfA1A==/olimpico-lb-vs-san-martin-c
181,19/01/2026 20:30,2026-01-19,UNION (SF),96,SAN LORENZO,93,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/8Z8EQXHfzSqskuZ9VhT6yQ==/union-sf-vs-san-lorenzo
182,19/01/2026 21:00,2026-01-19,ATENAS (C),109,ARGENTINO (J),71,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/dDUCCYu4d9IAZtz-gllSyA==/atenas-c-vs-argentino-j
183,19/01/2026 21:30,2026-01-19,LA UNION FSA.,90,RACING (CH),78,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/1-n9oZuxlhkIL-Nhm5TEkw==/la-union-fsa-vs-racing-ch
184,20/01/2026 22:10,2026-01-20,QUIMSA,64,SAN MARTÍN (C),79,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/AAP7A1kB7XEeliCLpYYQLg==/quimsa-vs-san-martin-c
185,21/01/2026 21:00,2026-01-21,PEÑAROL (MDP),77,GIMNASIA (CR),73,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/1PxRpX4uJKJy4lIbRU6mkw==/penarol-mdp-vs-gimnasia-cr
186,21/01/2026 21:30,2026-01-21,INSTITUTO,91,ARGENTINO (J),56,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/hUZdEmr6-w18_qip76Y91g==/instituto-vs-argentino-j
187,22/01/2026 22:10,2026-01-22,FERRO,85,PLATENSE,86,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/ZGEpqMgRSOwlJDkxp7e0Gg==/ferro-vs-platense
188,23/01/2026 21:00,2026-01-23,PEÑAROL (MDP),73,OBRAS,81,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/PK0y1H3lLvX9OB5YdTPtuA==/penarol-mdp-vs-obras
189,23/01/2026 21:05,2026-01-23,BOCA,71,GIMNASIA (CR),74,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/PPJPTlb8Dbam7xCu2tyoLA==/boca-vs-gimnasia-cr
190,24/01/2026 11:00,2026-01-24,SAN LORENZO,84,LA UNION FSA.,70,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/TuX5QZaJdu1ZAB6944lztg==/san-lorenzo-vs-la-union-fsa
191,25/01/2026 11:00,2026-01-25,BOCA,66,QUIMSA,75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/b0s4JBlG7joIOpLJuCav5Q==/boca-vs-quimsa
192,26/01/2026 20:00,2026-01-26,OBRAS,75,RACING (CH),65,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/89hYZCwYqKjB6UPQikouOg==/obras-vs-racing-ch
193,26/01/2026 20:30,2026-01-26,FERRO,84,LA UNION FSA.,69,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/OiFzAcTehYuD-uwErxADwg==/ferro-vs-la-union-fsa
194,27/01/2026 20:30,2026-01-27,PLATENSE,85,QUIMSA,86,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/njwkMqedLpzliaLg0jRPEQ==/platense-vs-quimsa
195,27/01/2026 21:00,2026-01-27,GIMNASIA (CR),91,INDEPENDIENTE (O),82,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/rCFTb0irzaswd2a3a5MQmA==/gimnasia-cr-vs-independiente-o
196,28/01/2026 20:00,2026-01-28,OBRAS,85,LA UNION FSA.,76,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/8wV4k2s3G7M3sA5j7d7S7w==/obras-vs-la-union-fsa
197,28/01/2026 21:00,2026-01-28,SAN MARTÍN (C),85,BOCA,79,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/mu92PJa815virFCBi7PKPw==/san-martin-c-vs-boca
198,29/01/2026 20:30,2026-01-29,SAN LORENZO,69,INDEPENDIENTE (O),80,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/EWjaO_vFL9OrJ1W9R3wUrA==/san-lorenzo-vs-independiente-o
199,30/01/2026 20:30,2026-01-30,RACING (CH),82,OLÍMPICO (LB),73,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/f8aPefz47hQ8Ay4kDkeT3g==/racing-ch-vs-olimpico-lb
200,30/01/2026 21:30,2026-01-30,REGATAS (C),58,BOCA,55,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/ceVqgiqC0JoRCqAuP7-3uw==/regatas-c-vs-boca
201,31/01/2026 11:30,2026-01-31,INSTITUTO,80,SAN MARTÍN (C),75,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/og8PQfNO6k1JWgvDgDRnxQ==/instituto-vs-san-martin-c
202,31/01/2026 21:00,2026-01-31,UNION (SF),83,OBERÁ,91,2025-26,Regular,https://www.laliganacional.com.ar/laliga/partido/fPRr_t5E691irbQNnL5iRA==/union-sf-vs-obera

